id;address_line_1;address_line_2;city;country
1;models c Versatile;Frozen Rubber line;Loïcbury;Ouganda
2;bypassing;Zambian;Josephhaven;Tonga
3;supply-chains Pants;Berkshire Buckinghamshire;New Camille;Venezuela
4;purple Credit Developpeur;Tchad;New Hédelinbury;Sri Lanka
5;Pompe Chili;Lorraine bypassing capacitor;East Lucas;Tchad
6;interactive;grow orchid Leone;Adrienneburgh;République démocratique du Congo
7;Sausages ubiquitous Avon;Account Assimilated optical;East Noémieport;Guinée équatoriale
8;alarm Dinar Bacon;object-oriented override;Lake Macaire;Pérou
9;Picardie;state Savings;New Longin;Namibie
10;Administrateur Borders Ghana;b calculate bus;Lake Clarencestad;Salvador
